"HoldeplassID";"lat";"lon";"Jobbes med av";"Status";"Kommentar";
"6_18500041";"68.059975";"16.321384";"";"";"";
"5_08191025";"59.27675";"9.329178";"";"";"";
"6_18160036";"65.651306";"12.641658";"";"";"";
"6_18160024";"65.63052";"12.746716";"";"";"";
"6_18160023";"65.70214";"12.589611";"";"";"";
"6_18331291";"66.27729";"13.74776";"";"";"";
"6_18331288";"66.265884";"13.726236";"";"";"";
"6_18331190";"66.23926";"14.045524";"";"";"";
"6_18331068";"66.24311";"14.061898";"";"";"";
"6_18330417";"66.332344";"14.510074";"";"";"";
"6_18330447";"66.35177";"14.013887";"";"";"";
"2_19332514";"69.156876";"19.177153";"";"";"";
"2_19332512";"69.16001";"19.181286";"";"";"";
